tank,ttt,cam_name,prop-visible,time_interval,video_time,num_vis,pred_quad,gobies_inpredquad,gobies_sharing_refuge,strikes
S1,Scarus,Shanny GoPro,100,100,V7 15:50,3,1,0,8,0
S1,Scarus,Shanny GoPro,100,101,V7 16:50,3,1,0,9,0
S1,Scarus,Shanny GoPro,100,110,V8 0:26,2,1,0,9,0
S1,Scarus,Shanny GoPro,100,111,V8 1:26,3,1,0,9,0
S2,Scarus,Three Seas 1,30,0,V1:03:27,1,1,1,0,0
S2,Scarus,Three Seas 1,30,1,V1:04:27,7,1,1,2,NA
S2,Scarus,Three Seas 1,30,10,V1:14:27,0,2,0,0,NA
S2,Scarus,Three Seas 1,30,11,V1:15:27,0,2,0,0,NA
S2,Scarus,Three Seas 1,30,20,V2:2:35,0,2,0,0,NA
S2,Scarus,Three Seas 1,30,21,V2:3:35,1,2,0,1,NA
S2,Scarus,Three Seas 1,30,30,V2:13:35,0,2,0,0,NA
S2,Scarus,Three Seas 1,30,31,V2:14:35,0,2,0,0,NA
S2,Scarus,Three Seas 1,30,40,V3:6:25,0,4,0,0,NA
S2,Scarus,Three Seas 1,30,41,V3:7:25,0,1,0,0,NA
S2,Scarus,Three Seas 1,30,50,V3:16:25,1,4,0,1,NA
S2,Scarus,Three Seas 1,30,51,V3: 17:25,0,NA,0,0,NA
S2,Scarus,Three Seas 1,30,60,V4:08:50,0,4,0,0,NA
S2,Scarus,Three Seas 1,30,69,V5:00:20,0,4,0,0,NA
S2,Scarus,Three Seas 1,30,70,V5:01:20,2,3,2,2,NA
S2,Scarus,Three Seas 1,30,79,V5:10:20,0,4,0,0,NA
S2,Scarus,Three Seas 1,30,80,V5:11:20,0,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,0,V2 01:30,9,1,1,1,NA
S3,Scarus,Kelsey F by Q,100,1,V2 02:30,8,1,0,0,0
S3,Scarus,Kelsey F by Q,100,10,V2 11:30,5,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,11,V2 12:30,5,2,0,0,0
S3,Scarus,Kelsey F by Q,100,20,V2 21:30,5,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,21,V3 00:30,5,2,0,0,0
S3,Scarus,Kelsey F by Q,100,30,V3 09:30,7,1,0,0,NA
S3,Scarus,Kelsey F by Q,100,31,V3 10:30,7,2,0,0,0
S3,Scarus,Kelsey F by Q,100,40,V3 19:30,6,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,41,V3 20:30,6,2,0,0,0
S3,Scarus,Kelsey F by Q,100,50,V4 06:23,6,1,0,0,NA
S3,Scarus,Kelsey F by Q,100,51,V4 07:23,7,2,0,0,0
S3,Scarus,Kelsey F by Q,100,60,V4 16:23,8,1,0,0,NA
S3,Scarus,Kelsey F by Q,100,61,V4 17:23,7,2,0,0,0
S3,Scarus,Kelsey F by Q,100,70,V5 03:00,5,1,0,0,NA
S3,Scarus,Kelsey F by Q,100,71,V5 04:00,5,1,0,0,0
S3,Scarus,Kelsey F by Q,100,80,V5 13:00,6,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,81,V5 14:00,6,2,0,0,0
S3,Scarus,Kelsey F by Q,100,90,V5 23:00,6,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,91,V6 01:00,6,1,0,0,0
S3,Scarus,Kelsey F by Q,100,100,V6 10:00,6,2,0,0,NA
S3,Scarus,Kelsey F by Q,100,101,V6 11:00,6,2,0,0,0
G1,Grouper,Kelsey T by Kelsey T,70,0,0:30,0,NA,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,1,1:30,0,2,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,10,9:30,0,1,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,11,10:30,0,1,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,20,19:30,0,4,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,21,20:30,0,4,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,30,29:30:00,0,4,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,31,30:30:00,0,1,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,40,39:30:00,0,4,NA,NA,0
G1,Grouper,Kelsey T by Kelsey T,70,41,40:30:00,0,3,NA,NA,0
G2,Grouper,Katie,90,0,V1 12:30:00 AM,0,3,0,0,0
G2,Grouper,Katie,90,1,V1 1:30:00 AM,0,3,0,0,0
G2,Grouper,Katie,90,10,V1 10:30:00 AM,0,3,0,0,0
G2,Grouper,Katie,90,11,V1 11:30:00 AM,6,3,1,0,1
G2,Grouper,Katie,90,20,V2 3:30:00 AM,0,1,0,0,0
G2,Grouper,Katie,90,21,V2 4:30,0,3,0,0,0
G2,Grouper,Katie,90,30,V2 13:30,0,3,0,0,0
G2,Grouper,Katie,90,31,V2 14:30,0,3,0,0,0
G2,Grouper,Katie,90,40,V3 6:30,0,3,0,0,0
G2,Grouper,Katie,90,41,V3 7:30,0,3,0,0,0
G2,Grouper,Katie,90,50,V3 16:30,0,2,0,0,0
G2,Grouper,Katie,90,51,V3 17:30,0,1,0,0,0
G2,Grouper,Katie,90,60,V4 9:30,0,3,0,0,0
G2,Grouper,Katie,90,61,V4 10:30,0,3,0,0,0
G2,Grouper,Katie,90,70,V5 2:30,0,3,0,0,0
G2,Grouper,Katie,90,71,V5 3:30,0,1,0,0,0
G2,Grouper,Katie,90,80,V5 12:30,0,3,0,0,0
G2,Grouper,Katie,90,81,V5:13:30,0,3,0,0,0
G2,Grouper,Katie,90,90,V6 5:30,0,3,0,0,0
G2,Grouper,Katie,90,91,V6 6:30,0,3,0,0,0
G2,Grouper,Katie,90,100,V6 15:30,0,3,0,0,0
G2,Grouper,Katie,90,101,V6 16:30,0,3,0,0,0
G3,Grouper,Q by Jo,100,0,V1 04:20,2,1,0,1,NA
G3,Grouper,Q by Jo,100,1,V1 05:20,2,1,0,1,0
G3,Grouper,Q by Jo,80,10,V2 3:20,2,1,0,1,NA
G3,Grouper,Q by Jo,80,11,V2 4:20,2,1,0,1,0
G3,Grouper,Q by Jo,80,20,V3 2:20,0,1,0,0,NA
G3,Grouper,Q by Jo,80,21,V3 3:20,0,1,0,0,0
G3,Grouper,Q by Jo,80,30,V4 0:20,0,1,0,0,NA
G3,Grouper,Q by Jo,80,31,V4 1:20,0,1,0,0,0
G3,Grouper,Q by Jo,80,40,V4 10:20,0,1,0,0,NA
G3,Grouper,Q by Jo,80,41,V4 11:20,0,1,0,0,0
G3,Grouper,Q by Jo,80,50,V5 8:49,0,1,0,0,NA
G3,Grouper,Q by Jo,80,51,V5 9:49,0,1,0,0,0
G3,Grouper,Q by Jo,80,60,V6 6:11,0,2,0,0,NA
G3,Grouper,Q by Jo,80,61,V6 7:11,0,2,0,0,0
G3,Grouper,Q by Jo,80,70,V7 4:49,0,1,0,0,NA
G3,Grouper,Q by Jo,80,71,V7 5:49,0,1,0,0,0
G3,Grouper,Q by Jo,80,80,V8 2:11,0,1,0,0,NA
G3,Grouper,Q by Jo,80,81,V8 3:11,0,3,0,0,0
G4,Grouper,TS3,70,0,V1 0:30,5,NA,NA,2,0
G4,Grouper,TS3,70,1,V1 1:30,6,NA,NA,2,0
G4,Grouper,TS3,70,10,V1 10:30,2,NA,NA,1,0
G4,Grouper,TS3,70,11,V1 11:30,2,NA,NA,1,0
G4,Grouper,TS3,70,20,V2 2:55,0,NA,NA,0,0
G4,Grouper,TS3,70,21,V2 3:55,0,NA,NA,0,0
G4,Grouper,TS3,70,30,V2 12:55,0,NA,NA,0,0
G4,Grouper,TS3,70,31,V2 13:55,0,1,0,0,0
G4,Grouper,TS3,70,40,V3 5:22,0,2,0,0,0
G4,Grouper,TS3,70,41,V3 6:22,0,1,0,0,0
G4,Grouper,TS3,70,50,V3 15:22,0,1,0,0,0
G4,Grouper,TS3,70,51,V3 16:22,0,2,0,0,0
G4,Grouper,TS3,70,60,V4 7:48,0,1,0,0,0
G4,Grouper,TS3,70,61,V4 8:48,0,1,0,0,0
G4,Grouper,TS3,70,70,V5 0:15,0,1,0,0,0
G4,Grouper,TS3,70,71,V5 1:15,0,3,0,0,0
G4,Grouper,TS3,70,80,V5 10:15,0,1,0,0,0
G4,Grouper,TS3,70,81,V5 11:15,0,1,0,0,0
G4,Grouper,TS3,70,90,V6 2:40,0,1,0,0,0
G4,Grouper,TS3,70,91,V6 3:40,0,3,0,0,0
G4,Grouper,TS3,70,100,V6 12:40,0,NA,0,0,0
G4,Grouper,TS3,70,101,V6 13:40,0,3,0,0,0
G5,Grouper,TS4,70,110,V7 5:00,0,1,0,0,0
G6,Grouper,TS5,70,119,V7 6:00,0,3,0,0,0
G5,Grouper,TS4 by Jo,80,0,V2 54,3,1,1,0,0
G5,Grouper,TS4,80,1,V2 1:54,2,1,0,0,1
G5,Grouper,TS4,80,10,V2 10:54,0,2,NA,0,0
G5,Grouper,TS4,80,11,V2 11:54,0,2,0,0,0
G5,Grouper,TS4,80,20,V3 2:20,0,1,0,0,0
G5,Grouper,TS4,80,21,V3 3:20,0,1,0,0,0
G5,Grouper,TS4,80,30,V3 12:20,0,1,0,0,0
G5,Grouper,TS4,80,31,V3 13:20,0,1,0,0,0
G5,Grouper,TS4,80,40,V4 4:16,0,3,NA,0,0
G5,Grouper,TS4,80,41,V4 5:16,0,1,0,0,0
G5,Grouper,TS4,80,50,V4 14:16,0,1,0,0,0
G5,Grouper,TS4,80,51,V4 15:16,0,2,NA,0,0
G5,Grouper,TS4,80,60,V5 5:18,0,2,NA,0,0
G5,Grouper,TS4,80,61,V5 6:18,0,2,NA,0,0
G5,Grouper,TS4,80,70,V5 15:18,0,1,0,0,0
G5,Grouper,TS4,80,71,V5 16:18,0,1,0,0,0
G5,Grouper,TS4,80,80,V6 8:16,0,1,0,0,0
G5,Grouper,TS4,80,81,V6 9:16,0,2,NA,0,0
G5,Grouper,TS4,80,90,V7 0:18,0,1,0,0,0
G5,Grouper,TS4,80,91,V7 1:18,0,1,0,0,0
G5,Grouper,TS4,80,100,V7 10:18,0,1,0,0,0
G5,Grouper,TS4,80,101,V7 11:18,0,1,0,0,0
LF1,Lionfish,Three Seas 6,40,0,V1 0:30,0,2,0,0,0
LF1,Lionfish,Three Seas 6,40,1,V1 1:30,0,4,0,0,0
LF1,Lionfish,Three Seas 6,40,10,V1 10:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,11,V1 11:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,20,V2 3:30,0,1,0,0,0
LF1,Lionfish,Three Seas 6,40,21,V2 4:30,0,1,0,0,0
LF1,Lionfish,Three Seas 6,40,30,V2 13:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,31,V2 14:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,40,V3 6:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,41,V3 7:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,50,V3 16:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,51,V3 17:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,60,V4 9:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,61,V4 10:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,70,V5 2:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,71,V5 3:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,80,V5 12:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,81,V5 13:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,90,V6 5:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,91,V6 6:30,0,4,0,0,0
LF1,Lionfish,Three Seas 6,40,100,V6 15:30,0,4,0,0,0
LF1,Lionfish,Three Seas 6,40,101,V6 16:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,110,V7 8:30,0,3,0,0,0
LF1,Lionfish,Three Seas 6,40,111,V7 9:30,0,3,0,0,0
LF2,Lionfish,Charlie,100,0,V1 0:10,9,2,0,0,0
LF2,Lionfish,Charlie,100,1,V1 1:10,8,2,0,2,0
LF2,Lionfish,Charlie,100,10,V1 10:10,2,2,0,1,0
LF2,Lionfish,Charlie,100,11,V1 11:10,2,2,0,2,0
LF2,Lionfish,Charlie,100,20,V2 2:17,3,1,3,3,0
LF2,Lionfish,Charlie,100,21,V2 3:17,3,1,3,3,0
LF2,Lionfish,Charlie,100,30,V2 12:17,4,2,0,3,0
LF2,Lionfish,Charlie,100,31,V2 13:17,4,2,0,4,0
LF2,Lionfish,NA,NA,40,V3 4:43,3,2,0,3,0
LF2,Lionfish,NA,NA,41,V3 5:43,4,1,4,4,0
LF2,Lionfish,NA,NA,50,V3 14:43,4,2,0,4,0
LF2,Lionfish,NA,NA,51,V3 15:43,3,1,3,3,0
LF3,Lionfish,Kelsey S.,90,0,V1 12:54,8,3,5,3,0
LF3,Lionfish,Kelsey S.,90,1,V1 13:54,5,3,3,2,1
LF3,Lionfish,Kelsey S.,90,10,V2 3:00,2,3,0,2,0
LF3,Lionfish,Kelsey S.,90,11,V2 4:00,2,3,0,2,0
LF3,Lionfish,Kelsey S.,90,20,V2 13:00,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,21,V2 14:00,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,30,V3 3:06,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,31,V3 4:06,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,40,V3 13:06,2,3,0,2,0
LF3,Lionfish,Kelsey S.,90,41,V3 14:06,2,3,0,2,0
LF3,Lionfish,Kelsey S.,90,50,V4 3:12,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,51,V4 4:12,2,3,0,2,0
LF3,Lionfish,Kelsey S.,90,60,V4 13:12,3,3,0,3,0
LF3,Lionfish,Kelsey S.,90,61,V4 14:12,3,3,0,3,0
LF3,Lionfish,Kelsey S.,90,70,V5 3:18,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,71,V5 4:18,1,3,0,1,0
LF3,Lionfish,Kelsey S.,90,80,V5 13:18,4,2,0,2,0
LF3,Lionfish,Kelsey S.,90,81,V5 14:18,3,2,0,2,0
LF4,Lionfish,Jasmine,100,0,V1 14:22,5,2,1,2,0
LF4,Lionfish,Jasmine,100,1,V1 15:22,4,3,2,2,1
LF5,Lionfish,Meg,100,0,V2 1:05,5,2,1,1,0
LF5,Lionfish,Meg,100,1,V2 2:05,3,3,2,1,1
LF5,Lionfish,Meg,100,10,V2 11:05,0,3,0,0,0
LF5,Lionfish,Meg,100,11,V2 12:05,0,1,0,0,0
LF5,Lionfish,Meg,100,20,V3 1:12,0,3,0,0,0
LF5,Lionfish,Meg,100,21,V3 2:12,0,3,0,0,0
LF5,Lionfish,Meg,100,30,V3 11:12,0,1,0,0,0
LF5,Lionfish,Meg,100,31,V3 12:12,0,1,0,0,0
LF5,Lionfish,Meg,100,40,V4 2:19,1,1,0,1,0
LF5,Lionfish,Meg,100,41,V4 3:19,1,2,0,1,0
LF5,Lionfish,Meg,100,50,V4 12:19,0,2,0,0,0
LF5,Lionfish,Meg,100,51,V4 13:19,0,2,0,0,0
LF5,Lionfish,Meg,100,60,V5 2:21,0,1,0,0,0
LF5,Lionfish,Meg,100,61,V5 3:21,0,1,0,0,0
LF5,Lionfish,Meg,100,70,V5 12:21,0,2,0,0,0
LF5,Lionfish,Meg,100,71,V5 13:21,0,2,0,0,0
LF5,Lionfish,Meg,100,80,V6 2:28,0,1,0,0,0
LF5,Lionfish,Meg,100,81,V6 3:28,0,2,0,0,0
LF5,Lionfish,Meg,100,90,V6 12:28,0,3,0,0,0
LF5,Lionfish,Meg,100,91,V6 13:28,0,3,0,0,0
LF5,Lionfish,Meg,100,100,V7 2:35,0,3,0,0,0
LF5,Lionfish,Meg,100,101,V7 3:35,0,3,0,0,0
